La Calaka - Expense Report
Week: SEMANA 3   LUNES  20   ENERO    2026
Exported: 1/27/2026, 2:36:46 PM

COST BREAKDOWN
Category,Initial ($),Purchases ($),Final ($),Sales ($),Cost %

INVOICES/PURCHASES
Provider,Category,Quantity,Unit Price,Total
"Q. Philadelphia",undefined,3,undefined,NaN
"Q. Portuguese Fresco",undefined,1,undefined,NaN
"Q. Poutine (sopa de tortilla) 2kg",undefined,0,undefined,NaN
"Yogurth Griego",undefined,0,undefined,NaN
"Block de Requisicion (oficina)",undefined,0,undefined,NaN
"cajas de clips",undefined,0,undefined,NaN
"Cinta masking Beige",undefined,0,undefined,NaN
"Cinta masking verde",undefined,0,undefined,NaN
"Cinta Scotch (transparentes)",undefined,0,undefined,NaN
"Impresora de comandas",undefined,0,undefined,NaN
"Cuter plastico azul (oficina)",undefined,0,undefined,NaN
"Encendedor Largo",undefined,0,undefined,NaN
"Engrapadora (expo, bar, estaciones)",undefined,0,undefined,NaN
"Grapas",undefined,0,undefined,NaN
"Hojas Bond Tamano Carta 5000pzs (danforth)",undefined,0,undefined,NaN
"Luces de vengala 10 piezas, benm 20cm sparklers",undefined,0,undefined,NaN
"Pilas AA",undefined,0,undefined,NaN
"Pilas AAA",undefined,0,undefined,NaN
"Plumas Zgrip",undefined,0,undefined,NaN
"Plumones Permanentes",undefined,0,undefined,NaN
"Rollo impresora termico 3 1/8x3 (impresora fiscal)",undefined,0,undefined,NaN
"Rollo impresora Terminal Bancaria",undefined,1,undefined,NaN
"Sobres Manila (selectum security envelopes)",undefined,0,undefined,NaN
"Sobres para nomina (Largos)",undefined,0,undefined,NaN
"Sobre para propinas (pequenos)",undefined,0,undefined,NaN
"Atun",undefined,0,undefined,NaN
"Callo chico 80/120",undefined,0,undefined,NaN
"Callo grande 10/20",undefined,5,undefined,NaN
"Camaron 16/20 con cascara",undefined,0,undefined,NaN
"Camaron 31/40 con cascara",undefined,50,undefined,NaN
"Pulpo",undefined,0,undefined,NaN
"Salmon",undefined,0,undefined,NaN
"Masago",undefined,0,undefined,NaN
"Pescado (basa flts)",undefined,10,undefined,NaN
"Surimi en Barra (paquete .908 grs)",undefined,5,undefined,NaN
"Kanikama en Barra",undefined,0,undefined,NaN
"GALLETAS buffet ",undefined,0,undefined,NaN
"CHURROS de caramelo ",undefined,0,undefined,NaN
"CHURROS de chocolate",undefined,0,undefined,NaN
"Flan Casero",undefined,0,undefined,NaN
"Hot Cakes (DESAYUNOS)",undefined,0,undefined,NaN
"Pastel 3 Leches",undefined,10,undefined,NaN
"Bistec Ranchero",undefined,0,undefined,NaN
"Chicharron en Salsa Verde",undefined,0,undefined,NaN
"Chilorio a la Mexicana",undefined,0,undefined,NaN
"Chorizo con papas",undefined,0,undefined,NaN
"Frijoles Charros",undefined,0,undefined,NaN
"Jamon (paquete de 1 kilo)",undefined,0,undefined,NaN
"Machaca con papas",undefined,0,undefined,NaN
"Menudo",undefined,0,undefined,NaN
"Papas fritas (13,56 Kg)",undefined,0,undefined,NaN
"Pollo Con Mole",undefined,0,undefined,NaN
"Pollo en Rajas",undefined,0,undefined,NaN
"Pozole (bolsa de 3 LITROS)",undefined,0,undefined,NaN
"Salchicha (paquete )",undefined,0,undefined,NaN
"Tamal de Elote (DESAYUNOS) (paquete c/6 piezas)",undefined,0,undefined,NaN
"MIEL individual",undefined,0,undefined,NaN
"Mermelada de fresa invidual",undefined,0,undefined,NaN
"WIPPING CREAM (bote litro)",undefined,0,undefined,NaN
"Aderezo Roca",undefined,5,undefined,NaN
"Consome Birria",undefined,0,undefined,NaN
"Grasa de Birria",undefined,5,undefined,NaN
"Mole (preset 110 gramos)",undefined,0,undefined,NaN
"Salsa A La Diabla",undefined,2,undefined,NaN
"Salsa Aguachile/MangoHabanero",undefined,1,undefined,NaN
"Salsa Belicona",undefined,0,undefined,NaN
"Salsa Black",undefined,4,undefined,NaN
"Salsa de Anguila",undefined,2,undefined,NaN
"Salsa Hot",undefined,2,undefined,NaN
"Salsa MARISQUERA (saul)",undefined,0,undefined,NaN
"Salsa Negra Michelada",undefined,0,undefined,NaN
"Salsa vino tinto",undefined,1,undefined,NaN
"Adobo para Zarandeado",undefined,0,undefined,NaN
"Salsa Roja de buffet ",undefined,0,undefined,NaN
"Salsa Verde (SOLO DANFORTH)",undefined,0,undefined,NaN
"SALSA CILANTRO JALAPENO",undefined,0,undefined,NaN
"BASE DE SALSA DE QUESO ",undefined,0,undefined,NaN
